Configuration,X-linear Velocity,Y-linear Velocity,Speed,Yaw Rate
'0000000000000000,-0.01718586330077765,0.17276115332948694,0.17361385314680833,-1.213832742867079
'0000000000000001,-0.024566833195269276,0.1804033370779692,0.18206837540651974,-1.2409649261726556
'0000000000000010,-0.17937879776914673,0.1308201336836545,0.2220150039449188,-1.409504892332008
'0000000000000011,-0.30662566599855345,0.026497945249361728,0.307768866441725,-1.3946678643624413
'0000000000000100,-0.10786093216961727,0.098237158528757,0.14589215196338573,-1.1308511780159658
'0000000000000101,-0.12488222229620066,0.04826372244905352,0.13388411645851991,-0.9605651105480563
'0000000000000110,-0.132092897208663,0.07595082690327638,0.15237146732151907,-0.7782381612152868
'0000000000000111,-0.2089623813507906,0.08103283966042107,0.2241240681956357,-1.0270095158795918
'0000000000001000,-0.06452698699362769,0.08607822423004463,0.10757877458219961,-1.2248936100146464
'0000000000001001,-0.06380338938333648,0.07782776288864758,0.1006382005074566,-1.0311957187001177
'0000000000001010,-0.21252578978382983,0.25100001961989477,0.3288893769445386,-1.639945752543746
'0000000000001011,-0.21940798868052896,0.15270975819718682,0.2673202932975304,-1.2116761291614369
'0000000000001100,-0.09955180439048031,0.013645285976173968,0.10048892896821758,-0.7296119566173148
'0000000000001101,-0.10980793393958044,0.10998929717139862,0.155420165588548,-1.5258528400256888
'0000000000001110,-0.20892115055769211,0.23581718114150307,0.3150520815259464,-1.082321515827207
'0000000000001111,-0.19644366736520363,0.2607153898058385,0.3264393203259268,-1.7606847941409172
'0000000000010000,-0.042678008010144645,0.06413984826404187,0.07704110920171275,-0.7237998991817229
'0000000000010001,-0.026407991538035063,-0.013662167758398432,0.029732757117049216,-0.10031591117515694
'0000000000010010,-0.13794622896287706,0.04974731923608511,0.14664227854506556,-0.762699282162675
'0000000000010011,-0.15644292307244687,0.061862248488119095,0.16822998548646356,-0.7594809900366337
'0000000000010100,-0.03889060712811264,0.03479306073408326,0.05218272135461666,-0.5528505810143649
'0000000000010101,-0.06273606878021804,0.05602026193892237,0.08410762538455346,-0.7492335448282846
'0000000000010110,-0.2284304668320366,0.3150549998483599,0.3891530946920041,-1.6122265646912233
'0000000000010111,-0.22366377631198237,0.3174962979779459,0.3883675889224692,-1.5250539119691047
'0000000000011000,-0.07051782294366919,0.01983810693091068,0.073255129934273,-0.6439093701289604
'0000000000011001,-0.0813473974995847,0.047122306666539916,0.09401075228858768,-0.8773189566266906
'0000000000011010,-0.10807116225561883,0.3661995537397939,0.38181342219769654,-1.9434914634867917
'0000000000011011,-0.20827036238802343,0.22548890319370288,0.3069557427370347,-1.4594707982961166
'0000000000011100,-0.07771796750491168,0.003956644723893494,0.077818619549775,-0.9626279751363909
'0000000000011101,-0.10112198041355584,0.04486242723439673,0.11062681650643698,-0.8730203937245844
'0000000000011110,-0.22584892875220441,0.27836481583227496,0.35846158696172054,-2.0487940227390675
'0000000000011111,-0.2410444517084394,0.27652746416871576,0.3668377161471479,-1.777794845382584
'0000000000100000,0.050307924913465786,0.06136029274229227,0.07935500139726595,-1.172417251669811
'0000000000100001,0.015289214295665498,0.14168063688791288,0.14250693809651593,-1.2241985793612111
'0000000000100010,-0.14015144720252531,0.0735087463324082,0.15825922881575763,-0.9218656624349917
'0000000000100011,-0.2678421260430337,0.3084252872160639,0.4084918404354409,-1.818978344840618
'0000000000100100,-0.007333520040631132,0.2057376897196934,0.20588459934770423,-2.0282885251506135
'0000000000100101,-0.02765162026276547,0.2617964161258084,0.2632526856442963,-1.825850759685214
'0000000000100110,-0.22426015085603565,0.29703670721393205,0.3721873470870648,-1.9424883177640713
'0000000000100111,-0.24053540305401278,0.30603241216865673,0.3892469053966317,-1.350986994209797
'0000000000101000,-0.10028722425797788,0.06776861792756095,0.12103765086672785,-0.817767924429562
'0000000000101001,-0.09194303853855795,0.09029049961954863,0.12886391272450118,-1.0393590073733556
'0000000000101010,-0.2332373553575066,0.19551143503708138,0.3043425457770525,-1.6062363814439498
'0000000000101011,-0.25461397699412236,0.1151360653642377,0.2794367877258226,-1.658981488870329
'0000000000101100,-0.12957199866707603,0.1272098450511702,0.18157987018441854,-1.474869045616278
'0000000000101101,-0.11422991146915756,0.06643346459929368,0.13214339909535,-1.3951952095130917
'0000000000101110,-0.18349013593008473,0.2241508190659438,0.2896761605934279,-1.946811293972579
'0000000000101111,-0.2032068321160522,0.09509629897717169,0.22435757776042456,-0.9478763811774347
'0000000000110000,-0.01857659101667205,0.19857752552926283,0.19944453711213028,-1.3032179289574137
'0000000000110001,-0.012861075424083173,0.2469143920010411,0.24724914814600157,-1.8173389282061478
'0000000000110010,-0.26734026883555617,-0.24713560646587376,0.3646070626242813,-1.3875572831564429
'0000000000110011,-0.08344186789946612,-0.42498982552997266,0.4331047893782559,-0.8042442942758299
'0000000000110100,-0.05889636659277941,0.07680033718454077,0.09678367566075077,-1.2768368843662954
'0000000000110101,-0.08362513720162323,0.0528961949755087,0.09895035223735572,-0.9315564649474981
'0000000000110110,-0.23112960992374854,0.4045103058560999,0.4658857041818145,-2.3379437931815725
'0000000000110111,-0.24977151871340378,0.45139720308515163,0.5158931642387156,-2.449338653950276
'0000000000111000,-0.10021504382714144,0.07856267006662727,0.1273387148176232,-1.373065403903108
'0000000000111001,-0.1205040207974352,0.1106517894996097,0.16360028002489868,-1.2680859746845399
'0000000000111010,-0.2036066547956989,0.7326080306352875,0.7603750505290661,-3.183631470389515
'0000000000111011,-0.20682661768962046,0.39047090099390114,0.44186816123931155,-1.9588143534190867
'0000000000111100,-0.12794297064791438,0.13656565311280627,0.18713519540623758,-1.317952770427376
'0000000000111101,-0.07861915822058715,0.17389435198783793,0.19100752167195217,-1.6133892932938318
'0000000000111110,-0.22724315196544734,0.14343548180350008,0.268725238701177,-1.5147145538278424
'0000000000111111,-0.23486583564987512,0.02624822386939819,0.23632807195093392,-1.1416716867269365
'0000000001000000,0.023830677052187766,0.0747327352532668,0.07844031430641456,-0.6246583550617278
'0000000001000001,0.016095801490027362,0.05408234384050416,0.05642693581113413,-0.8573030034862592
'0000000001000010,-0.15176691987616517,-0.03499136770430722,0.15574849548631906,-1.5155191755052808
'0000000001000011,-0.20975211061885096,0.21687683561852888,0.30171428569215153,-1.4516455192872308
'0000000001000100,-0.09974191886508488,0.1924616185441773,0.2167715968659198,-1.7037272564784924
'0000000001000101,-0.0510454391636815,0.13570663037003847,0.14498950188727583,-2.1244568551886007
'0000000001000110,-0.24711585164212252,0.2392667156424454,0.3439692998194844,-1.8450044930346927
'0000000001000111,-0.23933994918127036,0.31279143515856145,0.39385554250094135,-2.151474069306492
'0000000001001000,-0.10455314570280413,0.10136968902509975,0.14562683179290628,-1.3730134102625189
'0000000001001001,-0.10188119327159117,0.0775421627782712,0.12803345764021964,-1.1370533435848966
'0000000001001010,-0.21135150012633655,0.13252494523939923,0.2494640624663759,-1.4207920999920691
'0000000001001011,-0.26465916793095495,0.12721164152604986,0.29364483834349503,-1.6650868815023165
